City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Ostrovnoy,RU,68.0531,39.5131,40.06,85,7,17.87,clear sky
106,Ancud,CL,-41.8697,-73.8203,49.37,64,1,5.08,clear sky
107,Warrington,GB,53.3925,-2.5802,57.33,65,40,17.27,scattered clouds
108,Pacific Grove,US,36.6177,-121.9166,56.43,96,100,8.01,mist
109,Leninsk,RU,48.7119,45.1994,60.84,60,99,8.61,overcast clouds
110,Chokurdakh,RU,70.6333,147.9167,19.22,93,83,14.45,broken clouds
111,Alenquer,BR,-1.9417,-54.7383,95.88,40,100,3.47,overcast clouds
112,Dharchula,IN,29.85,80.5333,64.22,87,59,3.98,broken clouds
113,Kulhudhuffushi,MV,6.6221,73.07,81.48,80,53,19.6,broken clouds
114,Butaritari,KI,3.0707,172.7902,81.48,74,85,16.58,light rain
115,Marquette,US,46.5333,-87.6335,42.82,75,100,5.32,overcast clouds
116,Sitka,US,57.0531,-135.33,48.09,66,75,3.44,broken clouds
117,Henties Bay,NA,-22.116,14.2845,62.82,86,42,9.8,scattered clouds
118,Srednekolymsk,RU,67.45,153.6833,17.94,92,74,9.08,broken clouds
119,Curitibanos,BR,-27.2828,-50.5844,49.59,98,100,7.47,light rain
120,Laramie,US,41.3114,-105.5911,54.95,44,0,8.05,clear sky
121,Oranjemund,NA,-28.55,16.4333,64.92,74,100,17.81,overcast clouds
122,Waipawa,NZ,-41.4122,175.5153,54.12,72,98,19.28,light rain
123,Eyl,SO,7.9803,49.8164,79.86,76,100,20.49,overcast clouds
124,Muriwai Beach,NZ,-36.8167,174.45,56.48,86,97,5.37,overcast clouds
125,Te Anau,NZ,-45.4167,167.7167,44.67,93,86,1.48,overcast clouds
126,Hay River,CA,60.8156,-115.7999,57.69,49,100,14.85,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,70.18,79,95,11.01,overcast clouds
128,Beloha,MG,-25.1667,45.05,73.47,73,0,10.09,clear sky
