City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Jejuri,IN,76.95,overcast clouds,18.2833,74.1667,Hotel Malhargad
425,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
429,Rameswaram,IN,81.63,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
434,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
438,Gambela,ET,77.43,light rain,8.25,34.5833,Solomon Debebe Hotel
443,Jalu,LY,82.99,clear sky,29.0331,21.5482,صاحبة الفخامة
444,Nawabganj,BD,82.76,scattered clouds,24.5911,88.271,দা সফ্‌ট আইটি
446,Katobu,ID,75.4,overcast clouds,-4.9408,122.5276,La Ode Husein
447,Lardos,GR,75.02,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
449,Iralaya,HN,81.9,overcast clouds,15.0,-83.2333,Iglesia morava renovada
454,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
457,Conchas,BR,78.73,light rain,-23.0153,-48.0106,Pousada Villa Harmonia
459,Waddan,LY,85.32,clear sky,29.1614,16.139,محل الشريف محمد العايب
466,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
477,Sabang,ID,81.95,overcast clouds,5.8933,95.3214,Hotel Citra
478,Surt,LY,79.14,clear sky,31.2089,16.5887,فندق المدينة
481,Somerset East,ZA,82.58,overcast clouds,-32.7217,25.588,Mbali Lodge
482,Sobradinho,BR,89.35,scattered clouds,-12.8333,-39.1,Pousada Pau Brasil
486,Nkoteng,CM,76.69,overcast clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
488,Dingle,PH,76.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
491,Sulangan,PH,83.66,scattered clouds,11.1373,123.7228,Maia's Beach Resort
496,Bonthe,SL,82.06,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
500,Mana,GF,87.13,scattered clouds,5.6592,-53.7767,LE SAMANA
502,Melilla,ES,79.0,few clouds,35.2937,-2.9383,Hotel Anfora
510,Guasdualito,VE,85.96,broken clouds,7.2424,-70.7324,Hotel Cuibas
515,Pathein,MM,76.57,overcast clouds,16.7833,94.7333,Pathein Hotel
516,Lamu,KE,77.22,light rain,-2.2717,40.902,Lamu House
523,Rodrigues Alves,BR,89.8,scattered clouds,-7.738,-72.6509,Pousada Aconchego
524,Banda Aceh,ID,79.77,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
527,Oranjestad,AW,87.91,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
529,Jadu,LY,86.23,few clouds,31.953,12.0261,امياس للصرافة
530,Kyaikkami,MM,80.85,scattered clouds,16.08,97.5675,St. joseph catholic church
531,Xuddur,SO,85.68,overcast clouds,4.1213,43.8894,Banjanay Hotel
536,Constantine,DZ,81.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
539,The Valley,AI,87.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
541,Anito,PH,78.35,overcast clouds,12.4497,125.2886,El Felix Cottages
543,Barkhan,PK,75.49,clear sky,29.8977,69.5256,Sardar
546,Biharamulo,TZ,76.39,broken clouds,-2.6319,31.3089,Annex Lodge
547,Mecca,SA,89.78,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
556,Panlaitan,PH,82.44,overcast clouds,12.1191,119.8486,SOUTH BEACH
560,Hatillo,PR,88.38,clear sky,18.4863,-66.8254,El Buen Hotel
564,Caravelas,BR,86.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
567,Praya,CV,86.54,broken clouds,14.9215,-23.5087,LT Aparthotel
576,Mlowo,TZ,77.7,overcast clouds,-9.0,32.9833,Mchacho Drinks & Guest house
579,Dickinson,US,80.17,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
582,Inyonga,TZ,83.75,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
593,Siteki,SZ,75.02,few clouds,-26.45,31.95,Siteki Hotel
596,Algiers,DZ,80.42,light rain,36.7525,3.042,Sofitel Algiers Hamma Garden
598,Sauteurs,GD,84.9,overcast clouds,12.2167,-61.6333,Barry's Country Retreat
601,Villavicencio,CO,82.74,broken clouds,4.142,-73.6266,Hotel del Llano
603,Sao Gabriel Da Cachoeira,BR,84.0,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
605,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
610,Jawhar,SO,79.68,few clouds,2.7809,45.5005,Hotel Shabelle
611,Nazare Da Mata,BR,87.03,broken clouds,-7.7417,-35.2278,Hotel Santa Inêz
613,Mitsamiouli,KM,75.49,light rain,-11.3847,43.2844,Foyer ADM
618,Tarakan,ID,81.9,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
621,Honiara,SB,77.36,few clouds,-9.4333,159.95,Heritage Park Hotel
625,Bang Yai,TH,80.58,overcast clouds,13.8434,100.3625,Thai House Hotel
626,Tautira,PF,75.9,light rain,-17.7333,-149.15,Pension Oaoa
635,Anloga,GH,80.67,moderate rain,5.7947,0.8973,Pin Drop Hotel
636,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
637,Ishigaki,JP,75.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
638,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
649,Kodinar,IN,81.52,scattered clouds,20.7903,70.7031,residency of N.B vadhel
652,Champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
654,Garowe,SO,84.27,overcast clouds,8.4054,48.4845,Curubo Hotel
660,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
661,Road Town,VG,87.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
662,Alugan,PH,78.22,overcast clouds,12.2188,125.4808,JM Lodge
667,Trincomalee,LK,80.47,scattered clouds,8.5711,81.2335,Welcombe Hotel
668,Bubaque,GW,81.81,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
